,,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits,
19B21A04H2,R1931041,LINEAR INTEGRATED CIRCUITS AND APPLICATI,19,ABSENT,0,
19B21A04H2,R1931043,DIGITAL COMMUNICATIONS,18,F,0,
19B21A04H2,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,20,ABSENT,0,
19B21A04J0,R1931042,MICROPROCESSOR AND MICROCONTROLLERS,15,F,0,
19B21A04J0,R1931043,DIGITAL COMMUNICATIONS,19,ABSENT,0,
19B21A04J0,R1931044,ELECTRONIC MEASUREMENTS & INSTRUMENTATIO,14,F,0,
19B21A0579,R1931054,ARTIFICIAL INTELLIGENCE,16,D,3,
19B21A05B8,R1931054,ARTIFICIAL INTELLIGENCE,19,C,3,
20B21A4217,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,B,3,
20B21A4226,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,F,0,
20B21A4226,R2031421,COMPILER DESIGN,19,F,0,
20B21A4226,R2031422,OPERATING SYSTEMS,18,F,0,
20B21A4226,R2031423,MACHINE LEARNING,18,F,0,
20B21A4243,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,F,0,
20B21A4243,R2031421,COMPILER DESIGN,20,F,0,
20B21A4243,R2031422,OPERATING SYSTEMS,23,ABSENT,0,
20B21A4243,R2031423,MACHINE LEARNING,20,F,0,
20B21A4243,R203142A,SOFTWARE ENGINEERING,17,E,3,
20B21A4245,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,D,3,
20B21A4249,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,F,0,
20B21A4249,R2031421,COMPILER DESIGN,17,F,0,
20B21A4249,R2031422,OPERATING SYSTEMS,18,D,3,
20B21A4255,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,F,0,
20B21A4255,R2031421,COMPILER DESIGN,21,D,3,
20B21A4255,R2031422,OPERATING SYSTEMS,19,D,3,
20B21A4255,R2031423,MACHINE LEARNING,19,E,3,
20B21A4255,R203142A,SOFTWARE ENGINEERING,20,F,0,
20B21A4256,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,E,3,
20B21A4257,R2031421,COMPILER DESIGN,19,E,3,
20B21A4257,R203142A,SOFTWARE ENGINEERING,14,F,0,
20B21A4262,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,F,0,
20B21A4263,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,B,3,
20B21A4266,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,F,0,
20B21A4272,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,F,0,
20B21A4274,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,F,0,
20B21A4278,R2031422,OPERATING SYSTEMS,17,C,3,
20B21A4278,R203142A,SOFTWARE ENGINEERING,19,E,3,
20B21A4280,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,F,0,
20B21A4281,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,E,3,
20B21A4281,R2031421,COMPILER DESIGN,21,D,3,
20B21A4281,R2031423,MACHINE LEARNING,19,F,0,
20B21A4281,R203142A,SOFTWARE ENGINEERING,17,E,3,
20B21A4285,R2031423,MACHINE LEARNING,18,E,3,
20B21A4287,R2031422,OPERATING SYSTEMS,22,F,0,
20B21A4288,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,E,3,
20B21A4297,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,F,0,
20B21A4297,R2031421,COMPILER DESIGN,17,F,0,
20B21A4299,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,C,3,
20B21A42A1,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,F,0,
20B21A42A1,R203142A,SOFTWARE ENGINEERING,21,F,0,
20B21A42A2,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,E,3,
20B21A42A2,R2031423,MACHINE LEARNING,21,E,3,
20B21A42A3,R2031423,MACHINE LEARNING,20,ABSENT,0,
20B21A42A9,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,F,0,
20B21A42A9,R2031421,COMPILER DESIGN,18,ABSENT,0,
20B21A42A9,R2031422,OPERATING SYSTEMS,16,ABSENT,0,
20B21A42A9,R2031423,MACHINE LEARNING,22,D,3,
20B21A42B2,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,ABSENT,0,
20B21A42B2,R2031423,MACHINE LEARNING,15,F,0,
20B21A42B2,R203142A,SOFTWARE ENGINEERING,19,F,0,
20B21A42B6,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,23,F,0,
20B21A42B7,R2031423,MACHINE LEARNING,20,D,3,
20B21A42B9,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,E,3,
20B21A42B9,R2031422,OPERATING SYSTEMS,18,F,0,
20B21A42B9,R2031423,MACHINE LEARNING,19,F,0,
20B21A42B9,R203142A,SOFTWARE ENGINEERING,20,F,0,
20B21A42C2,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,17,F,0,
20B21A4319,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,B,3,
20B21A4320,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,F,0,
20B21A4323,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,F,0,
20B21A4327,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,F,0,
20B21A4328,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,E,3,
20B21A4328,R2031423,MACHINE LEARNING,18,D,3,
20B21A4331,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,F,0,
20B21A4334,R2031421,COMPILER DESIGN,18,F,0,
20B21A4334,R2031423,MACHINE LEARNING,19,F,0,
20B21A4338,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,D,3,
20B21A4338,R203142A,SOFTWARE ENGINEERING,23,F,0,
20B21A4340,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,E,3,
20B21A4342,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,F,0,
20B21A4342,R2031422,OPERATING SYSTEMS,16,F,0,
20B21A4342,R203142A,SOFTWARE ENGINEERING,21,E,3,
20B21A4345,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,D,3,
20B21A4347,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,F,0,
20B21A4347,R2031421,COMPILER DESIGN,20,F,0,
20B21A4347,R2031423,MACHINE LEARNING,18,F,0,
20B21A4350,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A+,1.5,
20B21A4352,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,ABSENT,0,
20B21A4355,R2031421,COMPILER DESIGN,20,E,3,
20B21A4356,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,15,D,3,
20B21A4356,R2031421,COMPILER DESIGN,21,F,0,
20B21A4358,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,16,E,3,
20B21A4359,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,17,D,3,
20B21A4359,R2031421,COMPILER DESIGN,17,E,3,
20B21A4359,R2031422,OPERATING SYSTEMS,17,E,3,
20B21A4359,R203142A,SOFTWARE ENGINEERING,13,F,0,
20B21A4359,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A+,1.5,
20B21A4361,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,F,0,
20B21A4369,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,16,F,0,
20B21A4369,R203142A,SOFTWARE ENGINEERING,25,F,0,
20B21A4370,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,17,F,0,
20B21A4370,R2031421,COMPILER DESIGN,21,F,0,
20B21A4370,R2031423,MACHINE LEARNING,19,E,3,
20B21A4370,R203142A,SOFTWARE ENGINEERING,19,F,0,
20B21A4373,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,23,F,0,
20B21A4376,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,E,3,
20B21A4378,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,D,3,
20B21A4386,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,17,F,0,
20B21A4387,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,16,F,0,
20B21A4390,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,17,F,0,
20B21A4390,R2031423,MACHINE LEARNING,19,D,3,
20B21A4391,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,F,0,
20B21A43A0,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,17,F,0,
20B21A43A2,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,24,F,0,
20B21A43A5,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,16,E,3,
20B21A43A5,R2031421,COMPILER DESIGN,18,F,0,
20B21A43A5,R2031422,OPERATING SYSTEMS,21,F,0,
20B21A43A6,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,F,0,
20B21A43A6,R2031422,OPERATING SYSTEMS,18,E,3,
