,,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits,
21B21A4317,R203142A,SOFTWARE ENGINEERING,19,C,3,
21B21A4317,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A+,1.5,
21B21A4318,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4318,R2031058,EMPLOYABILITY SKILLS-I,22,COMPLE,0,
21B21A4318,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,F,0,
21B21A4318,R2031421,COMPILER DESIGN,21,E,3,
21B21A4318,R2031422,OPERATING SYSTEMS,22,F,0,
21B21A4318,R2031423,MACHINE LEARNING,20,C,3,
21B21A4318,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,12,A,1.5,
21B21A4318,R2031425,MACHINE LEARNING LAB,13,A,1.5,
21B21A4318,R203142A,SOFTWARE ENGINEERING,21,E,3,
21B21A4318,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A,1.5,
21B21A4319,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21B21A4319,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4319,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,E,3,
21B21A4319,R2031421,COMPILER DESIGN,23,D,3,
21B21A4319,R2031422,OPERATING SYSTEMS,21,B,3,
21B21A4319,R2031423,MACHINE LEARNING,25,B,3,
21B21A4319,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,13,A+,1.5,
21B21A4319,R2031425,MACHINE LEARNING LAB,13,A+,1.5,
21B21A4319,R203142A,SOFTWARE ENGINEERING,21,F,0,
21B21A4319,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A+,1.5,
21B21A4320,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21B21A4320,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4320,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,E,3,
21B21A4320,R2031421,COMPILER DESIGN,18,C,3,
21B21A4320,R2031422,OPERATING SYSTEMS,24,C,3,
21B21A4320,R2031423,MACHINE LEARNING,21,D,3,
21B21A4320,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,13,A+,1.5,
21B21A4320,R2031425,MACHINE LEARNING LAB,13,A+,1.5,
21B21A4320,R203142A,SOFTWARE ENGINEERING,23,E,3,
21B21A4320,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A+,1.5,
21B21A4321,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21B21A4321,R2031058,EMPLOYABILITY SKILLS-I,22,COMPLE,0,
21B21A4321,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,D,3,
21B21A4321,R2031421,COMPILER DESIGN,23,D,3,
21B21A4321,R2031422,OPERATING SYSTEMS,20,D,3,
21B21A4321,R2031423,MACHINE LEARNING,22,D,3,
21B21A4321,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,13,A+,1.5,
21B21A4321,R2031425,MACHINE LEARNING LAB,12,A,1.5,
21B21A4321,R203142A,SOFTWARE ENGINEERING,22,D,3,
21B21A4321,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A+,1.5,
21B21A4323,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21B21A4323,R2031058,EMPLOYABILITY SKILLS-I,24,COMPLE,0,
21B21A4323,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,F,0,
21B21A4323,R2031421,COMPILER DESIGN,17,F,0,
21B21A4323,R2031422,OPERATING SYSTEMS,18,F,0,
21B21A4323,R2031423,MACHINE LEARNING,19,E,3,
21B21A4323,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,10,A,1.5,
21B21A4323,R2031425,MACHINE LEARNING LAB,10,A,1.5,
21B21A4323,R203142A,SOFTWARE ENGINEERING,17,F,0,
21B21A4323,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A+,1.5,
21B21A4324,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4324,R2031058,EMPLOYABILITY SKILLS-I,23,COMPLE,0,
21B21A4324,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,23,F,0,
21B21A4324,R2031421,COMPILER DESIGN,22,D,3,
21B21A4324,R2031422,OPERATING SYSTEMS,17,D,3,
21B21A4324,R2031423,MACHINE LEARNING,19,D,3,
21B21A4324,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,10,A,1.5,
21B21A4324,R2031425,MACHINE LEARNING LAB,10,A,1.5,
21B21A4324,R203142A,SOFTWARE ENGINEERING,21,F,0,
21B21A4324,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A,1.5,
21B21A4325,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21B21A4325,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21B21A4325,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,E,3,
21B21A4325,R2031421,COMPILER DESIGN,21,F,0,
21B21A4325,R2031422,OPERATING SYSTEMS,19,D,3,
21B21A4325,R2031423,MACHINE LEARNING,20,D,3,
21B21A4325,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,10,A,1.5,
21B21A4325,R2031425,MACHINE LEARNING LAB,11,A,1.5,
21B21A4325,R203142A,SOFTWARE ENGINEERING,21,F,0,
21B21A4325,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A+,1.5,
21B21A4326,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4326,R2031058,EMPLOYABILITY SKILLS-I,22,COMPLE,0,
21B21A4326,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,D,3,
21B21A4326,R2031421,COMPILER DESIGN,20,D,3,
21B21A4326,R2031422,OPERATING SYSTEMS,21,D,3,
21B21A4326,R2031423,MACHINE LEARNING,22,D,3,
21B21A4326,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,13,A,1.5,
21B21A4326,R2031425,MACHINE LEARNING LAB,13,A,1.5,
21B21A4326,R203142A,SOFTWARE ENGINEERING,21,C,3,
21B21A4326,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A,1.5,
21B21A4327,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4327,R2031058,EMPLOYABILITY SKILLS-I,24,COMPLE,0,
21B21A4327,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,F,0,
21B21A4327,R2031421,COMPILER DESIGN,22,D,3,
21B21A4327,R2031422,OPERATING SYSTEMS,19,F,0,
21B21A4327,R2031423,MACHINE LEARNING,21,D,3,
21B21A4327,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,13,A,1.5,
21B21A4327,R2031425,MACHINE LEARNING LAB,12,A+,1.5,
21B21A4327,R203142A,SOFTWARE ENGINEERING,21,D,3,
21B21A4327,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A,1.5,
21B21A4328,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21B21A4328,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4328,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,F,0,
21B21A4328,R2031421,COMPILER DESIGN,20,C,3,
21B21A4328,R2031422,OPERATING SYSTEMS,20,D,3,
21B21A4328,R2031423,MACHINE LEARNING,20,E,3,
21B21A4328,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,10,A,1.5,
21B21A4328,R2031425,MACHINE LEARNING LAB,10,A,1.5,
21B21A4328,R203142A,SOFTWARE ENGINEERING,20,F,0,
21B21A4328,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A+,1.5,
21B21A4329,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4329,R2031058,EMPLOYABILITY SKILLS-I,25,COMPLE,0,
21B21A4329,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,F,0,
21B21A4329,R2031421,COMPILER DESIGN,13,F,0,
21B21A4329,R2031422,OPERATING SYSTEMS,19,E,3,
21B21A4329,R2031423,MACHINE LEARNING,13,E,3,
21B21A4329,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,10,B,1.5,
21B21A4329,R2031425,MACHINE LEARNING LAB,10,B,1.5,
21B21A4329,R203142A,SOFTWARE ENGINEERING,19,F,0,
21B21A4329,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A,1.5,
21B21A4330,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4330,R2031058,EMPLOYABILITY SKILLS-I,22,COMPLE,0,
21B21A4330,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,17,D,3,
21B21A4330,R2031421,COMPILER DESIGN,14,E,3,
21B21A4330,R2031422,OPERATING SYSTEMS,19,E,3,
21B21A4330,R2031423,MACHINE LEARNING,17,D,3,
21B21A4330,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,13,A,1.5,
21B21A4330,R2031425,MACHINE LEARNING LAB,13,A,1.5,
21B21A4330,R203142A,SOFTWARE ENGINEERING,17,D,3,
21B21A4330,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A,1.5,
21B21A4331,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,B,2,
21B21A4331,R2031058,EMPLOYABILITY SKILLS-I,25,COMPLE,0,
21B21A4331,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,F,0,
21B21A4331,R2031421,COMPILER DESIGN,19,F,0,
21B21A4331,R2031422,OPERATING SYSTEMS,21,F,0,
21B21A4331,R2031423,MACHINE LEARNING,21,F,0,
21B21A4331,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,12,A,1.5,
21B21A4331,R2031425,MACHINE LEARNING LAB,12,B,1.5,
21B21A4331,R203142A,SOFTWARE ENGINEERING,18,F,0,
21B21A4331,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,B,1.5,
21B21A4332,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21B21A4332,R2031058,EMPLOYABILITY SKILLS-I,24,COMPLE,0,
21B21A4332,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,E,3,
21B21A4332,R2031421,COMPILER DESIGN,21,E,3,
21B21A4332,R2031422,OPERATING SYSTEMS,19,D,3,
21B21A4332,R2031423,MACHINE LEARNING,20,C,3,
21B21A4332,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,12,A+,1.5,
21B21A4332,R2031425,MACHINE LEARNING LAB,12,A+,1.5,
21B21A4332,R203142A,SOFTWARE ENGINEERING,21,C,3,
21B21A4332,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A+,1.5,
21B21A4333,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,B,2,
21B21A4333,R2031058,EMPLOYABILITY SKILLS-I,22,COMPLE,0,
21B21A4333,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,13,F,0,
21B21A4333,R2031421,COMPILER DESIGN,14,F,0,
21B21A4333,R2031422,OPERATING SYSTEMS,12,E,3,
21B21A4333,R2031423,MACHINE LEARNING,13,E,3,
21B21A4333,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,10,A,1.5,
21B21A4333,R2031425,MACHINE LEARNING LAB,10,A,1.5,
21B21A4333,R203142A,SOFTWARE ENGINEERING,13,F,0,
21B21A4333,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A+,1.5,
21B21A4334,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21B21A4334,R2031058,EMPLOYABILITY SKILLS-I,23,COMPLE,0,
21B21A4334,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,D,3,
21B21A4334,R2031421,COMPILER DESIGN,20,E,3,
21B21A4334,R2031422,OPERATING SYSTEMS,18,F,0,
21B21A4334,R2031423,MACHINE LEARNING,20,D,3,
21B21A4334,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,10,A,1.5,
21B21A4334,R2031425,MACHINE LEARNING LAB,10,A,1.5,
21B21A4334,R203142A,SOFTWARE ENGINEERING,17,E,3,
21B21A4334,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A+,1.5,
21B21A4335,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,ABSENT,0,
21B21A4335,R2031058,EMPLOYABILITY SKILLS-I,25,COMPLE,0,
21B21A4335,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,13,F,0,
21B21A4335,R2031421,COMPILER DESIGN,13,ABSENT,0,
21B21A4335,R2031422,OPERATING SYSTEMS,16,F,0,
21B21A4335,R2031423,MACHINE LEARNING,12,F,0,
21B21A4335,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,11,ABSENT,0,
21B21A4335,R2031425,MACHINE LEARNING LAB,10,ABSENT,0,
21B21A4335,R203142A,SOFTWARE ENGINEERING,13,F,0,
21B21A4335,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,B,1.5,
21B21A4336,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,ABSENT,0,
21B21A4336,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21B21A4336,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,13,ABSENT,0,
21B21A4336,R2031421,COMPILER DESIGN,16,ABSENT,0,
21B21A4336,R2031422,OPERATING SYSTEMS,13,ABSENT,0,
21B21A4336,R2031423,MACHINE LEARNING,13,ABSENT,0,
21B21A4336,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,11,ABSENT,0,
21B21A4336,R2031425,MACHINE LEARNING LAB,10,ABSENT,0,
21B21A4336,R203142A,SOFTWARE ENGINEERING,13,ABSENT,0,
21B21A4336,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,B,1.5,
21B21A4337,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4337,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21B21A4337,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,D,3,
21B21A4337,R2031421,COMPILER DESIGN,18,F,0,
21B21A4337,R2031422,OPERATING SYSTEMS,16,D,3,
21B21A4337,R2031423,MACHINE LEARNING,19,D,3,
21B21A4337,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,10,B,1.5,
21B21A4337,R2031425,MACHINE LEARNING LAB,12,A,1.5,
21B21A4337,R203142A,SOFTWARE ENGINEERING,21,E,3,
21B21A4337,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A,1.5,
21B21A4338,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4338,R2031058,EMPLOYABILITY SKILLS-I,25,COMPLE,0,
21B21A4338,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,17,F,0,
21B21A4338,R2031421,COMPILER DESIGN,20,E,3,
21B21A4338,R2031422,OPERATING SYSTEMS,21,C,3,
21B21A4338,R2031423,MACHINE LEARNING,17,F,0,
21B21A4338,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,12,A,1.5,
21B21A4338,R2031425,MACHINE LEARNING LAB,10,B,1.5,
21B21A4338,R203142A,SOFTWARE ENGINEERING,18,F,0,
21B21A4338,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A,1.5,
21B21A4339,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4339,R2031058,EMPLOYABILITY SKILLS-I,24,COMPLE,0,
21B21A4339,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,E,3,
21B21A4339,R2031421,COMPILER DESIGN,17,F,0,
21B21A4339,R2031422,OPERATING SYSTEMS,19,F,0,
21B21A4339,R2031423,MACHINE LEARNING,20,D,3,
21B21A4339,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,12,A,1.5,
21B21A4339,R2031425,MACHINE LEARNING LAB,12,A,1.5,
21B21A4339,R203142A,SOFTWARE ENGINEERING,17,F,0,
21B21A4339,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A,1.5,
21B21A4340,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4340,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21B21A4340,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,15,F,0,
21B21A4340,R2031421,COMPILER DESIGN,18,E,3,
21B21A4340,R2031422,OPERATING SYSTEMS,15,E,3,
21B21A4340,R2031423,MACHINE LEARNING,14,F,0,
21B21A4340,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,10,B,1.5,
21B21A4340,R2031425,MACHINE LEARNING LAB,10,B,1.5,
21B21A4340,R203142A,SOFTWARE ENGINEERING,15,F,0,
21B21A4340,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,B,1.5,
21B21A4341,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,B,2,
21B21A4341,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21B21A4341,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,F,0,
21B21A4341,R2031421,COMPILER DESIGN,12,F,0,
21B21A4341,R2031422,OPERATING SYSTEMS,13,F,0,
21B21A4341,R2031423,MACHINE LEARNING,13,F,0,
21B21A4341,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,12,B,1.5,
21B21A4341,R2031425,MACHINE LEARNING LAB,12,B,1.5,
21B21A4341,R203142A,SOFTWARE ENGINEERING,14,F,0,
21B21A4341,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,B,1.5,
21B21A4342,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,B,2,
21B21A4342,R2031058,EMPLOYABILITY SKILLS-I,25,COMPLE,0,
21B21A4342,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,15,F,0,
21B21A4342,R2031421,COMPILER DESIGN,17,F,0,
21B21A4342,R2031422,OPERATING SYSTEMS,16,F,0,
21B21A4342,R2031423,MACHINE LEARNING,16,F,0,
21B21A4342,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,10,B,1.5,
21B21A4342,R2031425,MACHINE LEARNING LAB,11,ABSENT,0,
21B21A4342,R203142A,SOFTWARE ENGINEERING,15,F,0,
21B21A4342,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,B,1.5,
21B21A4343,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4343,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21B21A4343,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,D,3,
21B21A4343,R2031421,COMPILER DESIGN,17,E,3,
21B21A4343,R2031422,OPERATING SYSTEMS,16,E,3,
21B21A4343,R2031423,MACHINE LEARNING,20,D,3,
21B21A4343,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,10,A,1.5,
21B21A4343,R2031425,MACHINE LEARNING LAB,10,B,1.5,
21B21A4343,R203142A,SOFTWARE ENGINEERING,19,E,3,
21B21A4343,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A,1.5,
21B21A4344,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,B,2,
21B21A4344,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21B21A4344,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,F,0,
21B21A4344,R2031421,COMPILER DESIGN,23,F,0,
21B21A4344,R2031422,OPERATING SYSTEMS,24,C,3,
21B21A4344,R2031423,MACHINE LEARNING,22,D,3,
21B21A4344,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,12,B,1.5,
21B21A4344,R2031425,MACHINE LEARNING LAB,13,A,1.5,
21B21A4344,R203142A,SOFTWARE ENGINEERING,21,F,0,
21B21A4344,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,B,1.5,
21B21A4345,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,B,2,
21B21A4345,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21B21A4345,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,ABSENT,0,
21B21A4345,R2031421,COMPILER DESIGN,16,F,0,
21B21A4345,R2031422,OPERATING SYSTEMS,24,F,0,
21B21A4345,R2031423,MACHINE LEARNING,22,ABSENT,0,
21B21A4345,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,13,B,1.5,
21B21A4345,R2031425,MACHINE LEARNING LAB,13,A,1.5,
21B21A4345,R203142A,SOFTWARE ENGINEERING,17,F,0,
21B21A4345,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,B,1.5,
21B21A4346,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,B,2,
21B21A4346,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21B21A4346,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,E,3,
21B21A4346,R2031421,COMPILER DESIGN,22,F,0,
21B21A4346,R2031422,OPERATING SYSTEMS,22,E,3,
21B21A4346,R2031423,MACHINE LEARNING,22,D,3,
21B21A4346,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,12,B,1.5,
21B21A4346,R2031425,MACHINE LEARNING LAB,12,B,1.5,
21B21A4346,R203142A,SOFTWARE ENGINEERING,22,F,0,
21B21A4346,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,B,1.5,
21B21A4347,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21B21A4347,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4347,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,D,3,
21B21A4347,R2031421,COMPILER DESIGN,23,D,3,
21B21A4347,R2031422,OPERATING SYSTEMS,24,E,3,
21B21A4347,R2031423,MACHINE LEARNING,23,D,3,
21B21A4347,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4347,R2031425,MACHINE LEARNING LAB,14,A+,1.5,
21B21A4347,R203142A,SOFTWARE ENGINEERING,23,F,0,
21B21A4347,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A+,1.5,
21B21A4348,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,B,2,
21B21A4348,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21B21A4348,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,F,0,
21B21A4348,R2031421,COMPILER DESIGN,10,F,0,
21B21A4348,R2031422,OPERATING SYSTEMS,16,F,0,
21B21A4348,R2031423,MACHINE LEARNING,19,F,0,
21B21A4348,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,13,A,1.5,
21B21A4348,R2031425,MACHINE LEARNING LAB,10,B,1.5,
21B21A4348,R203142A,SOFTWARE ENGINEERING,15,F,0,
21B21A4348,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,B,1.5,
21B21A4349,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21B21A4349,R2031058,EMPLOYABILITY SKILLS-I,25,COMPLE,0,
21B21A4349,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,17,F,0,
21B21A4349,R2031421,COMPILER DESIGN,19,F,0,
21B21A4349,R2031422,OPERATING SYSTEMS,17,E,3,
21B21A4349,R2031423,MACHINE LEARNING,21,E,3,
21B21A4349,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,13,A+,1.5,
21B21A4349,R2031425,MACHINE LEARNING LAB,13,A+,1.5,
21B21A4349,R203142A,SOFTWARE ENGINEERING,17,F,0,
21B21A4349,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A+,1.5,
21B21A4350,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,B,2,
21B21A4350,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21B21A4350,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,F,0,
21B21A4350,R2031421,COMPILER DESIGN,16,E,3,
21B21A4350,R2031422,OPERATING SYSTEMS,18,E,3,
21B21A4350,R2031423,MACHINE LEARNING,21,D,3,
21B21A4350,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,13,B,1.5,
21B21A4350,R2031425,MACHINE LEARNING LAB,14,A,1.5,
21B21A4350,R203142A,SOFTWARE ENGINEERING,18,F,0,
21B21A4350,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,B,1.5,
21B21A4351,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,B,2,
21B21A4351,R2031058,EMPLOYABILITY SKILLS-I,25,COMPLE,0,
21B21A4351,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,F,0,
21B21A4351,R2031421,COMPILER DESIGN,18,F,0,
21B21A4351,R2031422,OPERATING SYSTEMS,21,F,0,
21B21A4351,R2031423,MACHINE LEARNING,21,F,0,
21B21A4351,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,11,B,1.5,
21B21A4351,R2031425,MACHINE LEARNING LAB,10,B,1.5,
21B21A4351,R203142A,SOFTWARE ENGINEERING,18,F,0,
21B21A4351,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,B,1.5,
21B21A4352,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21B21A4352,R2031058,EMPLOYABILITY SKILLS-I,22,COMPLE,0,
21B21A4352,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,F,0,
21B21A4352,R2031421,COMPILER DESIGN,23,D,3,
21B21A4352,R2031422,OPERATING SYSTEMS,20,C,3,
21B21A4352,R2031423,MACHINE LEARNING,22,C,3,
21B21A4352,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,13,A,1.5,
21B21A4352,R2031425,MACHINE LEARNING LAB,14,A+,1.5,
21B21A4352,R203142A,SOFTWARE ENGINEERING,21,D,3,
21B21A4352,R2031431,SUMMER INTERNSHIP 2 MONTHS(MANDATORY) AF,0,A+,1.5,
21B21A4353,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21B21A4353,R2031058,EMPLOYABILITY SKILLS-I,25,COMPLE,0,
21B21A4353,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,D,3,
21B21A4353,R2031421,COMPILER DESIGN,21,D,3,
21B21A4353,R2031422,OPERATING SYSTEMS,25,C,3,
21B21A4353,R2031423,MACHINE LEARNING,22,C,3,
21B21A4353,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,13,A+,1.5,
21B21A4353,R2031425,MACHINE LEARNING LAB,13,A+,1.5,
21B21A4353,R203142A,SOFTWARE ENGINEERING,23,D,3,
